No.,Identifier,Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Book Author Full Names,Group Authors,Article Title,Source Title,Document Type,Author Keywords,Abstract,Publisher,Publication Year,DOI Link,,,,
1,0,J,"Rodr?guez-V?zquez, AI; Garc?a-Ruiz, R; Aguaded, I",,,,,,Education and Communication Public Policy: Discussions and Developments,TRIPODOS,Article,media education; public policy; convergence; content analysis; media literacy,"Relations between citizens and mass media are becoming increasingly complex, making it necessary to plan and design education in a hypermediatic society, where new challenges arise: education has got the primary responsibility of training citizens to consume and produce in a media ecosystem with great capacities and potentialities for new audiences. In this strategic relation between education and communication, public policies should strengthen a framework that encourages personal empowerment, combining creativity with understanding of the structures, processes and techniques that enhance critical consumption. This paper offers an overview of the advances that have occurred with regard to the new media literacy, based on content analysis, from the definition of this concept by UNESCO in 1979 to the present, through New Curriculum for Teachers on Media and Information Literacy of 2011 and Mapping Media Education in the World of 2009. Additionally, we deal with the main discussions held in a global context because it is imperative to reinforce the value of diversity in the face of the great convergence challenge. The empowerment of citizenship is an unquestionable value that will be beneficial to their cultural inclusion and their critical participation in the media sphere, so that they become media and digital prosumers, and to this effect public policies in education and communication must continue advancing and joining efforts.","UNIV RAMON LLULL, FAC CIENCIES COMUNICACIO BLANQUERNA",2020,,,,,
2,0,C,"Hauwaert, H; Ghesqui?re, P; Tordoir, J; Thomson, J",,"Manduchi, R; Rodriguez, MC; Penaz, P; Miesenberger, K",,,,Karaton: An Example of AI Integration Within a Literacy App,"COMPUTERS HELPING PEOPLE WITH SPECIAL NEEDS, ICCHP 2020, PT I",Proceedings Paper,Literacy app; Reading difficulties; Dyslexia; Artificial intelligence,"Integrating AI into educational applications can have an enormous benefit for users (players/children) and educational professionals. The concept of customisation based on user preferences and abilities is not new. However, in this paper the abilities of the players of a literacy skill application are being collated and categorized, so that in the future they can automatically offer the next instructional level without external manual support. The app Karaton has been designed in such a way that there is a presumption of competence and no child should feel a failure or need to wait to be told that they can try a higher level. It has been found that this improves self-confidence and encourages independent literacy skills.",SPRINGER INTERNATIONAL PUBLISHING AG,2020,http://dx.doi.org/10.1007/978-3-030-58796-3_12,,,,
3,0,J,"Tan, DAL; Lee, BC; Kasuma, SAA; Ganapathy, M",,,,,,Picture Superiority Effect: Using Images for Vocabulary Enhancement Among Year One Malaysian ESL Learners,PERTANIKA JOURNAL OF SOCIAL SCIENCE AND HUMANITIES,Article; Proceedings Paper,ESL/EFL; images; Picture Superiority Effect; vocabulary; young Malaysian learners,"As depicted in the current Malaysian scenario, competency in English is not assured although students are formally taught the language from their first year of schooling in National schools. Malaysian pupils have been achieving English proficiency level lower than the set expectation. This is further highlighted in the 2016 Economic Planning Unit report that after finishing Year 6 of Malaysian primary education, less than half of the students achieved a reasonable level of English literacy. Given the significance of vocabulary knowledge to language proficiency, the present study sought to examine the use of images in Malaysian ESL classrooms in terms of its effects on the development of vocabulary knowledge among Year One pupils'. The study is different from previous studies and exploratory in nature, in the sense that it examined not only receptive vocabulary knowledge but also the productive aspect of vocabulary learning. Two groups of Malaysian Year One pupils from a national primary school in Malaysia were selected by purposive sampling for a pretest-posttest-delayed posttest design in a quasi-experimental approach. The Experimental group experienced the interventional approach (use of images) while the Control group did not. Results revealed superior productive vocabulary scores, at both the posttest and delayed posttest levels, in favour of the Experimental group. No significant difference was recorded for the receptive dimension. One other finding is that the testing instruments used were statistically found to be reliable for use with Malaysian Year One pupils. This study and its findings are of relevance to policymakers, educators, curriculum designers, and scholars engaged in ESL/EFL research pertaining to young learners.",UNIV PUTRA MALAYSIA PRESS,2020,,,,,
4,0,J,"Korepin, VN; Dorozhkin, EM; Mikhaylova, AV; Davydova, NN",,,,,,RETRACTED: Digital Economy and Digital Logistics as New Area of Study in Higher Education (Retracted Article),INTERNATIONAL JOURNAL OF EMERGING TECHNOLOGIES IN LEARNING,Article; Retracted Publication,Artificial intelligence technologies; digitization; economy; e-learning,"Among innovative e-learning approaches in the sphere of digital economy and logistics, there is a special focus on artificial intelligence technologies (AI), which, due to their capacity and efficiency in usage, have a significant potential for the development and to some extent are optimal IT tools. The objective of a study is to define an optimum IT software for the organization of massive open online courses (MOOC) in digital economy and digital logistics in the framework of training economics students. Authors have conducted a survey in terms of Internet use for education and self-education. The sampling volume makes up 1 600 respondents in at least 80 regions of the Russian Federation. The respondents are divided into four age groups: 18-24 years old, 25-39 years old, 40-54 years old, 55 years old and older. The study uses data from the survey conducted by KMDA.PRO related to digital transformation of 700 representatives from more than 300 Russian companies out of 15 industries and the results of in-depth interviews of four categories of employees: top managers, heads of units, mid-level managers and other employees. The study results testify to the need for transforming e-learning approaches, taking into account the new labor market requirements for training specialists in digital logistics and gaining respective skills such as an active training, coordination, negotiation skills, teaching others, information literacy, customer focus, oral communication, ability to solve complex issues, operational literacy, time management. The use of the research results in practice is possible in case of the organization of online training courses for economics students in the framework of the higher educational system.",INT ASSOC ONLINE ENGINEERING,2020,http://dx.doi.org/10.3991/ijet.v15i13.14885,,,,
5,0,C,"Kobayashi, T; Arai, K; Imai, T; Tanimoto, S; Sato, H; Kanai, A; Miyazaki, T; Tsujino, A",,,IEEE COMP SOC,,,Service-Oriented Software Design Model for Communication Robot,2020 14TH IEEE INTERNATIONAL CONFERENCE ON SERVICE-ORIENTED SYSTEM ENGINEERING (SOSE 2020),Proceedings Paper,SOA; Service-oriented software engineering; Communication robot; Internet of Things; Artificial Intelligence,"A communication robot like an AI speaker has become popular as one of consumer services in recent years. As communication robots are widely used, various new demands arise. Therefore, system development is required in order to reflect these demands. Meanwhile, a Service-Oriented Architecture (SOA) or Service-Oriented Software Engineering attracts attentions for productivity improvement. However, there are few examples that apply a SOA or Service-Oriented Software Engineering to consumer services based on communication robots. We have developed communication robots that enable users to receive communication services via Social Networking Service (SNS) regardless of information literacy skills or detect sings of cranial nerve diseases. In this paper, we introduce these examples and discuss a framework common to them. Based on this framework, we propose a human-friendly and service-oriented software design model for communication robots.",IEEE COMPUTER SOC,2020,http://dx.doi.org/10.1109/SOSE49046.2020.00011,,,,
6,0,C,"Wan, XY; Zhou, XF; Ye, ZQ; Mortensen, CK; Bai, Z",,,ACM,,,SmileyCluster: Supporting Accessible Machine Learning in K-12 Scientific Discovery,PROCEEDINGS OF IDC 2020,Proceedings Paper,Data visualization; hands-on learning; AI literacy; scientific discovery; STEM education,"There is an increasing need to prepare young learners to be Artificial Intelligence (AI) capable for the future workforce and everyday life. Machine Learning (ML), as an integral subfield of AI, has become the new engine that revolutionizes practices of knowledge discovery. Making ML experience accessible to young learners, however, remains challenging due to its high demand for mathematical and computational skills. This research focuses on designing novel learning environments that help demystify ML technologies for K-12 students, and also investigating new opportunities for maximizing ML accessibility through integration with scientific discovery in STEM education. We developed SmileyCluster - a hands-on and collaborative learning environment that utilizes glyph-based data visualization and superposition comparative visualization to assist learning an entry-level ML technology, namely k-means clustering. Findings from an initial case study with high school students in a pre-college summer program show that SmileyCluster leads to positive change in learning ML concepts, methods and sense-making of patterns. Findings of this study also shed light on understanding ML as a data-enabled approach to support evidence-based scientific discovery in K-12 STEM education.",ASSOC COMPUTING MACHINERY,2020,http://dx.doi.org/10.1145/3392063.3394440,,,,
7,1,C,"Long, DR; Magerko, B",,,ACM,,,What is AI Literacy? Competencies and Design Considerations,PROCEEDINGS OF THE 2020 CHI CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS (CHI'20),Proceedings Paper,AI literacy; AI education; AI for K-12; artificial intelligence; machine learning; computing education,"Artificial intelligence (AI) is becoming increasingly integrated in user-facing technology, but public understanding of these technologies is often limited. There is a need for additional HCI research investigating a) what competencies users need in order to effectively interact with and critically evaluate AI and b) how to design learner-centered AI technologies that foster increased user understanding of AI. This paper takes a step towards realizing both of these goals by providing a concrete definition of AI literacy based on existing research. We synthesize a variety of interdisciplinary literature into a set of core competencies of AI literacy and suggest several design considerations to support AI developers and educators in creating learner-centered AI. These competencies and design considerations are organized in a conceptual framework thematically derived from the literature. This paper's contributions can be used to start a conversation about and guide future research on AI literacy within the HCI community.",ASSOC COMPUTING MACHINERY,2020,http://dx.doi.org/10.1145/3313831.3376727,,,,
8,0,J,"Ocholla, DN; Ocholla, L",,,,,,"Readiness of academic libraries in South Africa to research, teaching and learning support in the Fourth Industrial Revolution",LIBRARY MANAGEMENT,Article,4th industrial revolution; New trends; services; Academic libraries; South Africa,"Purpose In this paper, we refer to the World Economic Forum in Davos, Switzerland, in 2016, where the concept of the Fourth Industrial Revolution (4IR) was coined by Klaus Schwab, with the reference that it would be building on the Third, the digital revolution and would be characterized by a fusion of technologies that is blurring the lines between the physical, digital, and biological spheres. While acknowledging that the 4IR will impact on everything, everywhere, including research and libraries, we conceptualize 4IR, and we compare current academic library services/trends in South Africa with 4IR requirements, through the analysis of 26 public university library websites. Design/methodology/approach Besides conceptualization of 4IR, a content analysis of websites of 26 public universities' libraries in South Africa was achieved followed up with verification of the data by respective libraries through a preliminary research report circulated to them by email. 23 areas were identified as the trends in academic libraries, which included free Wi-Fi in the libraries; 24/7 study areas and access to library resources on and off campus; research commons; makerspace; borrowing ICTs (e.g. laptops); e-resources; e-catalogues; research data services (RDS; RDM, IR); open scholarship; information literacy and reference/bibliographic tools, library as a publisher, among others. Data obtained were captured in Excel and analyzed by the research questions. Findings The 4IR concept does not occur often in literature, in relation to academic libraries, but it is implied. The findings show that the libraries are responding well to the revolution through their services, with remarkable innovation and creativity on display. There was a 64% presence of the analyzed trends/services in the libraries, with emerging trends/services such as library as a publisher (4%), robotics/AI (4%), makerspace (8%), RDS (27%), borrowing of ICTs/devices (19%) and user experience (19%) scoring low, while information literacy and digital scholarship (e.g. IR) (88%), e-catalogue and e-resources (92%), group study area (85%) and off campus access (77%) scoring above 75%. The scatter of the trends/services among the university libraries is noted for knowledge sharing of best practice. Research limitations/implications In order to improve accordance with trends, academic libraries have to be better resourced, accessed and used, as well as improve web visibility. The study expects library services to be responsive, resourced and accessible anytime and anywhere, and it provides a conceptual framework and a benchmark for further research and exploration in the country, region and perhaps elsewhere. Practical implications The study can be used for benchmarking current and future academic library services in Africa. The conceptual framework provides an agenda for theoretical discussions and deliberations. Social implications The trends, framework and 4IR representations in the study can inform theory and practice in LIS, particularly in Africa. Originality/value Linking 4IR to current and future library services provides a tool for academic libraries services benchmarking and development and provides a conceptual framework for theoretical and practical debates and implementation. The study is quite current and appropriate for the ongoing discussions of 4IR implications to academic libraries.",EMERALD GROUP PUBLISHING LTD,2020,http://dx.doi.org/10.1108/LM-04-2020-0067,,,,
9,0,J,"Calvo, D; Cano-Or?n, L; Abengozar, AE",,,,,,Materials and assessment of literacy level for the recognition of social bots in political misinformation contexts,REVISTA ICONO 14-REVISTA CIENTIFICA DE COMUNICACION Y TECNOLOGIAS,Article,Media literacy; Digital citizenship; Disinformation; Bots; Twitter; Computational campaign,"The media ecosystem is constantly changing, transforming at a rhythm that educational institutions cannot keep up with. In this media transformation, artificial intelligence (AI) has been introduced, adapted to social networks for various purposes, including political ones. This work focuses on AI in bot format as an automated tool to publish content on Twitter and on the skills needed to identify them. Bots seek to imitate human behaviour to create a climate of concrete opinion, participate in political conversations and interact with real accounts in order to boycott them or increase their relevance. In order to know the level of media literacy of journalism students and increase their skills to identify this type of manipulation of the public sphere, a teaching intervention is designed at university level, applied to a sample of 55 students, consisting of a workshop to identify bots on Twitter. From the results of the workshop, evaluated through questionnaires, it is observed that the students have previous skills acquired informally to detect bots and that after the workshop the ability to identify these accounts slightly increases and, above all, they manifest a more conscious process when they face them. This paper presents the design of the workshop and its evaluation.",ICONO 14,2020,http://dx.doi.org/10.7195/ri14.v18i1.1515,,,,
10,0,J,"Ajayi, AI; Awopegba, OE; Adeagbo, OA; Ushie, BA",,,,,,Low coverage of HIV testing among adolescents and young adults in Nigeria: Implication for achieving the UNAIDS first 95,PLOS ONE,Article,,"Background Most studies on HIV testing among young people in Nigeria are not nationally representative. As such, recent nationally representative data, such as the Multiple Indicator Cluster Survey (MICS), could help assess the current level of HIV testing among young people, a key target population for HIV prevention in the country. In this study, we examined the coverage and factors associated with HIV testing among adolescents and young adults (AYA). Methods We used the data for 14,312 AYA that examined recent and lifetime HIV testing from the 2017 MCIS. Our outcomes of interest were ever tested for HIV and recently tested for HIV. We examined the association between socio-demographic factors (e.g., age, marital status, education attainment, wealth status), stigma belief, exposure to media and HIV knowledge, and uptake of HIV testing using adjusted and unadjusted logistic regression models. Results Less than a quarter of the AYA (23.7%) had ever tested for HIV, and an even lower proportion (12.4%) tested in the year preceding the survey. More females (25.4%) compared to males (20.8%) had ever tested for HIV. Young people who were aged 20-24 years (AOR 1.52, 95% CI 1.34-1.72), married (AOR 2.42, 95% CI 1.98-2.97), had higher educational attainment (AOR 5.85, 95% CI 4.39-7.81), and belonged to the wealthiest quintile (AOR 1.99, 95% CI 1.53-2.60), had higher odds of having ever tested for HIV compared to those aged 15-19 years, never married, had no formal education and belonged to the poorest wealth quintile. Also, those who had positive stigma belief towards people living with HIV (AOR 2.93, 95% CI 2.47-3.49), had higher HIV knowledge (AOR 1.62, 95% CI 1.24-2.11), and higher media exposure (AOR 1.64, 95% CI 1.36-1.97), had higher odds of having ever tested compared to those who had more negative stigma belief, had low knowledge of HIV and low media exposure. Conclusion The HIV testing coverage among AYA in Nigeria is well below the national target of 95% indicated in the national HIV/AIDS strategic framework (2017-2021). Also, the low rate of HIV testing found in this study means realising the UNAIDS first 95 will require interventions targeting AYA. These interventions should focus on improving young people's knowledge of HIV, reducing negative stigma belief through media campaigns and increasing access to HIV testing through home-based testing and opt-out strategy at the point of care.",PUBLIC LIBRARY SCIENCE,2020,http://dx.doi.org/10.1371/journal.pone.0233368,,,,
