Paper No.,Keywords
1,autonomy
1,collaboration
1,knowledge
1,evaluation
1,ethics
2,recognize
2,know understand
2,use apply
2,evaluate
2,create
2,navigate ethically
3,introduction to ai
3,ai and the future of work
3,ai careers
3,ai and ethics
4,probability
4,training
4,context
4,manipulation
5,learning to recognize artifacts using ai
5,learning about how ai works
5,learning tools for ai
5,learning for life with ai
6,usage
6,evaluation
6,awareness
6,ethics
7,improving everyday life
7,digital competences
7,knowledge of technical basics
7,a critical approach
7,ethical approach
7,completing specific tasks
8,data and algorithm literacy
8,affective competences
8,communication and collaboration
8,ai device and software applicationplatform operations
8,problem-solving
8,careerrelated competences
8,ai content creation
8,ai ethics
9,self-reflection
9,collaboration
9,impact
9,technology
9,ethics
10,affective
10,behavioural
10,cognitive
10,ethical
11,what is ai
11,what can ai do
11,how does ai work
11,understanding ai as software
11,how should ai be used
12,project goals layer
12,subjectobject analysis layer
12,project design layer
12,learning tools layer
12,project rules layer
13,understanding ais nature
13,recognizing ais capabilities
13,understanding the consequences of ai
13,skillsapplication of ai
13,programmability of ai
14,ethical literacy
14,experiential trust
14,regulatory advocacy
15,functional view of ai
15,critical view of ai
15,rhetorical view of ai
16,understanding techniques and concepts
16,defining and understanding ai
16,framework for critical questioning
17,cultural and linguistic diversity
17,existing educational systems and curricula
17,resource constraints and infrastructure limitations
17,local economic priorities and workforce needs
18,generic ai literacy
18,domainspecific ai literacy
18,attitudesvalues
18,knowledgecognition
18,skills behaviour
18,ai ethics literacy
19,learninggenerative ai
19,learning
19,teaching
19,learningteaching
19,generative ai
19,central zone
20,data literacy
20,action reaction
20,interdisciplinarity
20,programmability
20,recognizing ai
20,understanding intelligence
20,general vs narrow
20,ais strengths weaknesses
20,imagine future ai
20,representations
20,decisionmaking
20,human role in ai
20,learning from data
20,critically interpreting data
20,sensors
20,people perceive ai
20,ml steps
20,ethics
21,situational mapping
21,disconnecting
21,analyzing through
21,tracking
21,writing ethnographic vignettes
22,appraise
22,participate
22,read
22,write
22,communicate
23,motivating ai use
23,describing the problem to solve with ai
23,assessing ai affordances
23,informing ai use with appropriate information
23,shaping ai use
23,benefits and risks in situated practice
24,affective learning
24,behavioural learning
24,cognitive learning
24,ethical learning
25,intrinsic motivation
25,self-efficacy
25,behavioural intention
25,behavioural engagement
25,affective learning
25,behavioural learning
25,know and understand
25,use and apply ai
25,cognitive learning
25,ethical learning
26,inner workings
26,vocabulary
26,jargon
26,concepts
26,prompt engineering
26,specific suggested tools applications
26,ethics appropriacy
27,affective engagement
27,stem for sustainability
27,problem-solving
27,authentic learning
27,proactive exploration
27,future prospects
27,scientific citizenship
28,visualization
28,acquisition
28,implementation
28,optimization
28,analysis
28,evaluation
28,archiving
28,cleansing
28,sharing
28,erasing
29,expansion of ai literacy framework
29,individual competencies
29,relational practices
29,ethical implications and decisionmaking
30,recognize the benefits and limitations of ai tools
30,additional competencies for understanding ai
30,analyse ethical considerations in the development and deployment of ai
31,domain
31,learners and their interaction with ai
31,instructors
31,internal support
31,learning outcomes
31,learning activities
31,potential ai use cases
31,implications of using ai in the domain
31,additional learning resources
31,assessment
32,contextualization of ai literacy
32,concerns
32,interact and engage with
32,environment physical
32,people individual context
32,conceptualization of ai
32,applied knowledge
32,ai applications and its interdisciplinarity
32,skills use
32,recognize
32,critically examine ai tools
32,data
32,issues
32,organizational context
32,embodimenttangibility
32,ethical
32,legal
32,social aspects
32,environment digital
32,time and chronology
33,data literacy
33,interdisciplinarity
33,action and reaction
33,programmability
33,recognizing ai
33,understanding intelligence
33,general vs narrow ai
33,ais strengths and weaknesses
33,imagine future ai
33,knowledge representations
33,decisionmaking
33,machine learning steps
33,human role in ai
33,critically interpreting data
33,sensors
33,ethics
34,technological scientific knowledge
34,technical skills
34,socioethical technical understanding
35,capacity building and education
35,continuous evaluation and adaptation
35,ethical design principles for digital tools
35,participatory governance models
35,accountability and oversight structures
36,curiosity
36,creativity
36,continuity
36,transmissional inquiry pathway
36,transactional inquiry pathway
36,criticality
36,transformative inquiry pathway
37,ai self-awareness
37,self-management with ai
37,ai contextual understanding ability
37,ai exploratory learning and problemsolving ability
37,content ai interaction
37,personal ai security
37,ai cocreation identity
37,intellectual property in ai
37,ai context creation thinking
37,computational ai thinking
37,ai math logic thinking
37,ai systems thinking
37,ai data analysis and management ability
37,ai communication ability
37,ai safety awareness
37,organizational ai security
37,digital ai citizen identity
37,ai identity management
37,digital ai empathy
37,ai critical thinking
38,user efficacy
38,ai features
38,ai processing
38,algorithm influences
38,ethical consideration
38,threat appraisal
39,ai knowledge
39,ai attitudes
39,ai skills
39,ai ethics
40,ai fundamentals
40,elements of ai technology
40,application of ai technology
40,ai and human
40,ai and society
40,computational thinking
40,engineering design thinking
41,content
41,context
41,skills
41,values
41,access
