Dimension,Keyword
Affective,affective
Affective,confident and self-efficacious users who have interests and motivation to learn ai
Affective,confident users
Affective,interests
Affective,learn ai
Affective,motivation
Affective,self-efficacious users
Affective,attention
Affective,confidence
Affective,digital information literacy
Affective,"digital information literacy in terms of attention, confidence, satisfaction, enjoyment and perceived usefulness. "
Affective,enjoyment
Affective,perceived usefulness
Affective,satisfaction
Affective,attitudes
Affective,confidence
Affective,emotional and physiological change
Affective,emotional change
Affective,interests
Affective,"interests, confidence, motivation, attitudes and self-efficacy"
Affective,motivation
Affective,physiological change
Affective,self-efficacy
Behavioural,behavioural
Behavioural,active and productive users who can collaborate with others and engage themselves in ai environments
Behavioural,active users
Behavioural,ai environments
Behavioural,collaborate
Behavioural,engage themselves
Behavioural,productive users
Behavioural,cognitive behaviours
Behavioural,cognitive behaviours and network agency
Behavioural,learning behaviours
Behavioural,network agency
Behavioural,positive behaviours
Behavioural,students' positive learning behaviours
Behavioural,active learning
Behavioural,behavioural intention
Behavioural,collaboration and engagement
Behavioural,course completion
Behavioural,external behaviours
Behavioural,operational performance
Behavioural,students' actions
Behavioural,"students' actions, operational performance and external behaviours that demonstrate active learning, course completion, behavioural intention, collaboration and engagement"
Cognitive,cognitive
Cognitive,ai appliations
Cognitive,ai-driven solutions
Cognitive,apply ai
Cognitive,apply ai application to solve problems
Cognitive,"apply, evaluate and create ai"
Cognitive,chatbot
Cognitive,concepts
Cognitive,create
Cognitive,create ai
Cognitive,"create ai-driven solutions (e.g., chatbots, robotics) to solve problems"
Cognitive,deep learning
Cognitive,evaluate
Cognitive,evaluate ai
Cognitive,evaluate ai appliations and concepts for different situations
Cognitive,how ai perceives the world
Cognitive,know
Cognitive,"know how to use ai (e.g., siri, chatbot)"
Cognitive,know the working principles behind
Cognitive,"know what ai is and its related terms (e.g., machine learning, deep learning, nlp)"
Cognitive,machine learning
Cognitive,natural language processing
Cognitive,nlp
Cognitive,siri
Cognitive,societal impacts
Cognitive,societal impacts
Cognitive,to solve problems
Cognitive,use ai
Cognitive,working principles
Cognitive,bloom
Cognitive,bloom's taxonomy
Cognitive,lower- to higher-order thinking skills in bloom's taxonomy
Cognitive,taxonomy
Cognitive,thinking skills
Cognitive,breadth
Cognitive,communication
Cognitive,depth of knowledge
Cognitive,devices security
Cognitive,growth
Cognitive,information analysing
Cognitive,information seeking
Cognitive,knowledge acquisitions
Cognitive,personal security
Cognitive,skill acquisitions
Cognitive,"students' growth, breadth and depth of knowledge"
Cognitive,"students' knowledge and skill acquisitions such as technological skills, personal security, devices security, communication, information analysing and seeking"
Cognitive,technological skills
Ethical,ethical
Ethical,critical thinkers
Ethical,responsible users
Ethical,responsible users and critical thinkers
Ethical,development use of technology
Ethical,moral principles
Ethical,moral principles and techniques intended to inform the development and responsible use of technology
Ethical,responsible use of technology
Ethical,techniques
Ethical,use of technology
Ethical,cyber-bullying
Ethical,digital awareness
Ethical,digital responsibility
Ethical,ethical use of technology
Ethical,respect
Ethical,responsibilities
Ethical,"responsibilities, digital awareness, ethical use of technology, respect, cyber-bullying and digital responsibility"
Ethical,digital rights
Ethical,security
Ethical,"security, social responsibility, digital rights"
Ethical,social responsibility
Ethical,privacy
Ethical,"privacy, relationships, reputation"
Ethical,relationships
Ethical,reputation
